program,network,daypart,reach,Wealth,Good Life,Status,Power,Achievement,Belonging,Love,Heroism,Fitness,Competency,Aspiration,Self-Esteem,Creativity,Security,Transcendence,Self-Knowledge
NFL Sunday Night,NBC,Prime,11000,30,40,70,80,75,60,20,85,55,50,45,40,15,30,10,20
The Voice,NBC,Prime,5900,25,55,60,35,65,70,45,40,30,60,75,55,70,25,20,40
60 Minutes,CBS,Prime,10800,20,45,50,55,40,35,30,45,15,70,40,35,25,65,35,60
Jeopardy!,ABC,Early Fringe,8800,15,40,45,30,70,40,25,30,20,90,50,45,40,40,25,75
SNL,NBC,Late Night,5900,40,60,55,45,50,65,40,35,25,55,60,50,80,20,30,45
Survivor,CBS,Prime,8700,35,50,65,70,80,55,30,75,60,65,55,45,40,35,25,40
Grey's Anatomy,ABC,Prime,10600,30,55,50,40,55,70,75,45,25,60,50,55,45,40,35,50
The Bachelor,ABC,Prime,9000,45,65,70,40,50,60,80,30,35,45,65,60,50,30,20,35
Wheel of Fortune,ABC,Early Fringe,5400,30,50,45,30,55,50,35,30,25,60,55,45,35,45,25,55
Monday Night Football,ESPN,Prime,10200,30,40,72,82,76,58,18,88,58,48,44,42,14,32,10,18
